rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl
67.37,8.599924430000002,8192,39,208,1,,,,,,,,,,,
63.88,8.06053895,16384,90,181,2,0.1507568359375,-0.027669537701876835,11.435564994812012,0.2,1.0022512674331665,0.0003,24.398881393671036,10,-17.042971003055573,-0.025339126586914062,0.0121879075
66.83,9.340419270000002,24576,140,175,3,0.100048828125,-0.025353319961141096,8.476977348327637,0.2,1.005249261856079,0.0003,21.628597685694693,20,-17.07724170088768,0.15012627840042114,0.00923112
65.84,10.34080487,32768,192,170,4,0.10260009765625,-0.023731569209485315,7.289441108703613,0.2,1.0062438249588013,0.0003,18.404629889130593,30,-17.094619572162628,0.4295772910118103,0.009491001
64.68,10.804970420000002,40960,246,166,5,0.1091064453125,-0.026288809892139397,7.2807393074035645,0.2,1.0075390338897705,0.0003,17.71795240342617,40,-17.112695318460464,0.5569369196891785,0.010215598
70.5,11.414416260000003,49152,282,173,6,0.102587890625,-0.026224094077770134,9.26612663269043,0.2,1.0087288618087769,0.0003,17.26100126802921,50,-17.129064285755156,0.6053656339645386,0.009584067
69.21,10.571470889999999,57344,314,182,7,0.11676025390625,-0.028708961973461556,8.849916458129883,0.2,1.0095223188400269,0.0003,17.341936188936234,60,-17.1373659491539,0.6241360306739807,0.010371037
71.45,13.54041298,65536,343,190,8,0.11396484375,-0.02910245332677732,8.135024070739746,0.2,1.0111240148544312,0.0003,19.21209558546543,70,-17.15614747405052,0.6395089030265808,0.009806797
74.23,13.485770159999998,73728,372,197,9,0.1479736328125,-0.033770133178040854,6.386514186859131,0.2,1.0154870748519897,0.0003,15.457120096683502,80,-17.19823289513588,0.6985865831375122,0.01205256
74.3,12.58358832,81920,401,204,10,0.14591064453125,-0.03476067715819227,6.423311710357666,0.2,1.0188918113708496,0.0003,15.473921611905098,90,-17.238622462749483,0.6960887908935547,0.012502058
73.61,14.357861429999998,90112,429,209,11,0.14879150390625,-0.03540113569761161,7.816390514373779,0.2,1.0201964378356934,0.0003,18.11125907599926,100,-17.259676748514174,0.6901277303695679,0.0121336905
76.25,15.38722647,98304,457,214,12,0.1594482421875,-0.03768564619604149,7.363795757293701,0.2,1.022802472114563,0.0003,15.15347855091095,110,-17.28702692389488,0.7353655099868774,0.013415878
76.58,15.353185009999999,106496,484,219,13,0.17491455078125,-0.039261611811525654,5.442488193511963,0.2,1.0275228023529053,0.0003,12.586419200897216,120,-17.334646970033646,0.7855680584907532,0.013873586
84.08,19.07501503,114688,509,225,14,0.1764404296875,-0.04047173451690469,4.714550495147705,0.2,1.0266766548156738,0.0003,12.182099506258965,130,-17.340881597995757,0.7849438190460205,0.014518676
86.14,21.132450320000004,122880,536,229,15,0.17584228515625,-0.041730216922587715,4.697772026062012,0.2,1.0293852090835571,0.0003,10.276457764208317,140,-17.366060972213745,0.8116530179977417,0.014760943
82.84,18.962631820000002,131072,563,232,16,0.1682861328125,-0.03842657057248289,5.770973205566406,0.2,1.0295683145523071,0.0003,12.280064833164214,150,-17.372450643777846,0.8009545803070068,0.013618845
92.41,21.20162801,139264,654,212,17,0.17354736328125,-0.040450041317672006,4.286462306976318,0.2,1.0294502973556519,0.0003,9.877376484870911,160,-17.3722905755043,0.8574968576431274,0.014589492
97.17,21.961958430000003,147456,677,217,18,0.16431884765625,-0.04001921044182381,4.022403240203857,0.2,1.028770089149475,0.0003,9.711270600557327,170,-17.37599561214447,0.8551075458526611,0.014715603
