time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/std
8192,65.18,1,6.86529043,36,224,,,,,,,,,,,
16384,68.21,2,7.46958447,73,223,-17.062557691335677,11.782000541687012,-0.012666940689086914,0.2,10,-0.027874709406751207,0.01210539,0.0003,0.14364013671875,26.0704334795475,1.004098653793335
24576,62.92,3,8.838633789999998,111,220,-17.085344940423965,7.808558464050293,0.15056127309799194,0.2,20,-0.027915448210114845,0.010022577,0.0003,0.119384765625,20.950834143161774,1.0052498579025269
32768,58.5,4,8.18546627,151,215,-17.106414878368376,7.853410720825195,0.44420015811920166,0.2,30,-0.024934498425136554,0.0102549195,0.0003,0.1119384765625,16.111747977137565,1.0078452825546265
40960,57.71,5,7.902867859999999,191,213,-17.125882709026335,8.930354118347168,0.566358208656311,0.2,40,-0.024720109141708236,0.009411087,0.0003,0.1036376953125,18.707042849063875,1.0085902214050293
49152,63.42,6,10.425338940000001,227,215,-17.128572058677673,8.890085220336914,0.5965983867645264,0.2,50,-0.026409885493922047,0.009985881,0.0003,0.1110595703125,19.004466316103937,1.008094072341919
57344,68.18,7,13.276646159999999,263,217,-17.11123127937317,6.26975154876709,0.6730066537857056,0.2,60,-0.03029339879285544,0.011190191,0.0003,0.1364013671875,14.492670613527299,1.0062109231948853
65536,67.92,8,12.51741489,301,217,-17.10502885580063,6.854712963104248,0.725735604763031,0.2,70,-0.03275665538967587,0.011454843,0.0003,0.14013671875,13.924836388230323,1.0067603588104248
73728,65.68,9,12.04633193,338,217,-17.113621872663497,5.6432623863220215,0.7229436635971069,0.2,80,-0.034078535143635236,0.012126452,0.0003,0.149560546875,14.455717417597771,1.0075551271438599
81920,69.95,10,14.412347050000001,375,218,-17.129886335134508,6.717237949371338,0.7429025173187256,0.2,90,-0.03575394631334348,0.012317245,0.0003,0.15660400390625,14.567303684353828,1.009320616722107
90112,66.49,11,14.196553130000002,412,218,-17.153923392295837,5.754584312438965,0.7523704767227173,0.2,100,-0.03517661138175754,0.011678206,0.0003,0.1356201171875,13.967590814828872,1.0111932754516602
98304,72.14,12,15.226000720000002,447,219,-17.17078431248665,4.943843364715576,0.8059812784194946,0.2,110,-0.03757526339468313,0.013028209,0.0003,0.15760498046875,11.12889023721218,1.0122427940368652
106496,73.67,13,16.52905681,484,219,-17.16114074587822,4.721723556518555,0.8096133470535278,0.2,120,-0.03978715848643333,0.014574166,0.0003,0.1758056640625,11.408498153090477,1.0109330415725708
114688,82.36,14,18.247534750000003,519,220,-17.171264857053757,3.6089277267456055,0.8386878967285156,0.2,130,-0.04017288635877776,0.014834875,0.0003,0.17745361328125,9.016794387996196,1.0129973888397217
122880,83.27,15,19.46168072,553,221,-17.2076264500618,4.149881362915039,0.8187309503555298,0.2,140,-0.03878839110548142,0.013985032,0.0003,0.16707763671875,10.87899594604969,1.0164012908935547
