time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range
8192,43,1,65.95,6.472045840000001,188,,,,,,,,,,,
16384,83,2,66.06,8.3495875,195,1.0035005807876587,10,11.248039245605469,-0.027472890392527916,-17.05603846311569,0.13348388671875,0.0003,25.510416632890703,0.011603476,-0.02534353733062744,0.2
24576,124,3,67.73,8.782914909999999,197,1.0061413049697876,20,7.966987133026123,-0.0275664863838756,-17.0893473982811,0.12581787109375,0.0003,21.9698574334383,0.010359949,0.1263834834098816,0.2
32768,163,4,67.61,13.011215440000003,200,1.0101648569107056,30,6.857995510101318,-0.02363977309432812,-17.129194569587707,0.09532470703125,0.0003,17.74780550301075,0.00914976,0.42033886909484863,0.2
40960,204,5,69.95,11.003362300000001,200,1.0110818147659302,40,5.752880573272705,-0.024511589351459407,-17.156515491008758,0.0883544921875,0.0003,15.301457583904266,0.008776901,0.5501631498336792,0.2
49152,249,6,66.32,10.213137459999999,197,1.0131365060806274,50,7.907509803771973,-0.025393312466621864,-17.176894193887712,0.10216064453125,0.0003,18.266906532645226,0.009066116,0.6181539297103882,0.2
57344,294,7,72.65,12.709842079999996,194,1.0145381689071655,60,8.76108455657959,-0.028613823605701326,-17.195171773433685,0.11727294921875,0.0003,16.875054675340653,0.010072218,0.6866424083709717,0.2
65536,338,8,76.37,14.234218019999998,193,1.0156476497650146,70,7.209090709686279,-0.03015415581758134,-17.206917071342467,0.12122802734375,0.0003,16.7243900090456,0.010549602,0.6910721063613892,0.2
73728,383,9,69.63,13.822269059999998,192,1.0163434743881226,80,7.917937755584717,-0.03492628711537691,-17.219010883569716,0.15186767578125,0.0003,15.06588052213192,0.012922158,0.7142801284790039,0.2
81920,427,10,72.63,13.419107310000001,191,1.0172150135040283,90,5.562313556671143,-0.03440448805049527,-17.229464328289033,0.13955078125,0.0003,15.593280169367791,0.012391898,0.7241065502166748,0.2
90112,466,11,79.87,16.80066295,193,1.018006443977356,100,6.73367977142334,-0.03504901520354906,-17.23710560798645,0.14444580078125,0.0003,16.20778207182884,0.012512459,0.7246003746986389,0.2
98304,502,12,76.95,14.765575430000002,195,1.0212807655334473,110,6.815406799316406,-0.03718514997017337,-17.269859993457793,0.15955810546875,0.0003,15.418757197260856,0.013347171,0.7257158756256104,0.2
106496,529,13,75.1,16.097574800000004,201,1.0229943990707397,120,7.827973365783691,-0.03934621526568662,-17.291119712591172,0.16539306640625,0.0003,14.490684407949448,0.014205845,0.7629761099815369,0.2
114688,567,14,78.48,18.128187980000003,202,1.0233969688415527,130,4.711062431335449,-0.03930011567354086,-17.305843275785445,0.167724609375,0.0003,13.469714105129242,0.0146421855,0.7891088128089905,0.2
122880,603,15,83.58,17.473552530000003,203,1.025559902191162,140,4.4683403968811035,-0.039637628660420886,-17.316390693187714,0.1756103515625,0.0003,11.911620181798934,0.0149185555,0.8178359270095825,0.2
131072,640,16,82.64,19.233995390000004,204,1.027026891708374,150,4.307177543640137,-0.040060164256283316,-17.34057084321976,0.1732177734375,0.0003,10.721035689115524,0.014249848,0.8384146690368652,0.2
139264,682,17,83.89,19.06144592,204,1.030375361442566,160,4.874134063720703,-0.03944167279769317,-17.37625946998596,0.16583251953125,0.0003,11.235005661845207,0.014130522,0.8416215777397156,0.2
147456,720,18,94.96,20.276924059999995,204,1.0336087942123413,170,4.942148208618164,-0.03965723130131664,-17.412772500514983,0.1695068359375,0.0003,10.960802382230758,0.014124327,0.8463303446769714,0.2
155648,755,19,99.52,23.66785903,206,1.0343728065490723,180,4.761515140533447,-0.040757034223133815,-17.433672082424163,0.17877197265625,0.0003,11.700718005001544,0.015129341,0.8217546343803406,0.2
163840,788,20,106.02,26.905065570000005,207,1.034389615058899,190,5.497315406799316,-0.040797426633071156,-17.43515263199806,0.17239990234375,0.0003,10.290999086201191,0.01451272,0.8595726490020752,0.2
172032,820,21,119.03,30.149503309999997,209,1.034127116203308,200,5.4813361167907715,-0.040159629069967194,-17.43423381447792,0.164453125,0.0003,11.170821276307105,0.01386456,0.8527770638465881,0.2
180224,854,22,113.49,28.19887728,210,1.0335960388183594,210,5.139556884765625,-0.04394502934010234,-17.423968732357025,0.188818359375,0.0003,11.36284214258194,0.015524427,0.841921865940094,0.2
188416,887,23,116.6,32.29979236,212,1.0327948331832886,220,6.558555603027344,-0.04166246822715038,-17.418165850639344,0.1877685546875,0.0003,12.026775135099887,0.015259843,0.8524669408798218,0.2
196608,916,24,134.24,39.460597820000004,214,1.0346213579177856,230,3.716278314590454,-0.04323465600682539,-17.432725596427918,0.195556640625,0.0003,10.633225534856319,0.016609479,0.8711687326431274,0.2
204800,948,25,142.04,42.35101515,215,1.03321373462677,240,4.81836462020874,-0.04434954494063277,-17.426003640890123,0.1980712890625,0.0003,10.940214106440544,0.01676311,0.8571810126304626,0.2
212992,977,26,145.33,42.24543084,217,1.0338435173034668,250,4.932258129119873,-0.04480259381525684,-17.420882511138917,0.20767822265625,0.0003,12.197183439135552,0.016782597,0.8689121007919312,0.2
221184,1006,27,168.88,51.63987666999999,219,1.032914161682129,260,4.745192527770996,-0.04487346465757582,-17.416299051046373,0.20687255859375,0.0003,10.907377898693085,0.017435845,0.86696457862854,0.2
229376,1037,28,188.15,59.03578091,221,1.0326206684112549,270,3.8836522102355957,-0.042717211496346864,-17.41503087878227,0.18206787109375,0.0003,12.090410193800926,0.015665822,0.8655450940132141,0.2
237568,1070,29,195.69,61.99097239,221,1.0320147275924683,280,5.65250825881958,-0.043568601373408455,-17.409197288751603,0.1949462890625,0.0003,13.584662276506425,0.015647287,0.8458997011184692,0.2
245760,1100,30,205.31,63.875029729999994,223,1.0340436697006226,290,6.265137195587158,-0.04205785373342223,-17.41662926673889,0.18380126953125,0.0003,16.311460262537004,0.015913574,0.8440258502960205,0.2
253952,1128,31,220.16,70.64560241999999,224,1.0332258939743042,300,6.303645610809326,-0.045249167557631156,-17.421780198812485,0.2113037109375,0.0003,14.217918521165847,0.018361222,0.8392865061759949,0.2
262144,1154,32,250.33,83.99636067000002,227,1.0332986116409302,310,5.023586273193359,-0.045689729749574325,-17.41756116747856,0.2154541015625,0.0003,12.151903253793716,0.017785393,0.8672844171524048,0.2
270336,1264,33,282.88,98.69905974,213,1.0367594957351685,320,5.856472492218018,-0.04550827065686462,-17.43631672859192,0.21448974609375,0.0003,12.623080450296403,0.017736275,0.8439062237739563,0.2
278528,1294,34,278.71,100.77392112000001,215,1.0355935096740723,330,7.052310466766357,-0.04430462913660449,-17.4466079890728,0.22010498046875,0.0003,14.029711034893989,0.018272411,0.8454903960227966,0.2
286720,1323,35,289.92,106.06191323000002,216,1.035847783088684,340,7.916776657104492,-0.04206426637101686,-17.443600422143938,0.19239501953125,0.0003,15.796740904450417,0.01671892,0.8555300235748291,0.2
294912,1351,36,305.48,113.66085305,218,1.037888526916504,350,5.988426685333252,-0.043552047932098506,-17.46189820766449,0.2185302734375,0.0003,15.032917618751526,0.017912272,0.8375543355941772,0.2
303104,1384,37,346.59,132.79920462,218,1.0397701263427734,360,4.195129871368408,-0.04616637913932209,-17.48775560259819,0.2486572265625,0.0003,11.34998598843813,0.020569969,0.8182549476623535,0.2
311296,1410,38,390.23,150.86431826,220,1.0393563508987427,370,4.485475540161133,-0.048108908491849435,-17.490037745237352,0.252490234375,0.0003,10.720818862318993,0.022313084,0.8299339413642883,0.2
319488,1436,39,440.48,172.48891765999997,222,1.0390162467956543,380,4.358882427215576,-0.047798970804433336,-17.481293976306915,0.2773681640625,0.0003,9.259941881895065,0.024564037,0.7855489253997803,0.2
327680,1478,40,488.38,194.41112931000004,221,1.0406945943832397,390,2.812897205352783,-0.043930953707604206,-17.489581674337387,0.25657958984375,0.0003,9.056554913520813,0.021330286,0.8353946208953857,0.2
335872,1523,41,527.36,213.09808265,220,1.043516993522644,400,3.2509572505950928,-0.041727160784648734,-17.523446267843248,0.2534423828125,0.0003,9.34669570028782,0.022361169,0.797209620475769,0.2
344064,1571,42,573.84,236.03638438000002,218,1.0474790334701538,410,2.6819257736206055,-0.042911788003402764,-17.56389034986496,0.237646484375,0.0003,8.286722268164159,0.019887649,0.8438042402267456,0.2
352256,1615,43,633.85,264.11130015,217,1.0515214204788208,420,1.7836993932724,-0.0462384110171115,-17.613357055187226,0.292822265625,0.0003,5.689142720401287,0.025375286,0.8066843152046204,0.2
360448,1662,44,669.29,281.42091346999996,216,1.0535341501235962,430,2.267853260040283,-0.0457433748015319,-17.6364772439003,0.30557861328125,0.0003,5.248214508593082,0.028340677,0.7947083711624146,0.2
