time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl
1,8192,114,68.13,71,7.42214669,,,,,,,,,,,
2,16384,106,63.4,153,8.20682254,25.512407660484314,10,0.0003,9.896592140197754,-0.003293275833129883,-17.036882990598677,-0.026504505787306697,1.0015480518341064,0.13243408203125,0.2,0.011476797
3,24576,105,64.18,233,9.077368790000001,20.309892213344575,20,0.0003,6.442273139953613,0.16784000396728516,-17.048824244737624,-0.026159365255443844,1.0022207498550415,0.105419921875,0.2,0.009233001
4,32768,101,68.13,323,11.017550530000001,18.335504934191704,30,0.0003,7.439127445220947,0.4627228379249573,-17.06982456445694,-0.022542618720035535,1.0044959783554077,0.08302001953125,0.2,0.008132999
5,40960,18,64.47,2206,9.2132549,19.493973729014396,40,0.0003,8.787660598754883,0.550468385219574,-17.097530156373978,-0.024274761365813902,1.0065900087356567,0.09920654296875,0.2,0.009626599
6,49152,21,62.4,2239,11.558738210000001,18.774964812397958,50,0.0003,8.860771179199219,0.612322211265564,-17.115713679790495,-0.025724004855146632,1.0077990293502808,0.1109619140625,0.2,0.0097891195
7,57344,25,70.1,2287,12.510869900000003,16.526945629715918,60,0.0003,6.768486022949219,0.6519944667816162,-17.15643768310547,-0.027487206968362442,1.0125293731689453,0.10616455078125,0.2,0.009672705
8,65536,27,66.39,2351,11.876252989999998,17.59822751879692,70,0.0003,9.142313957214355,0.6682376861572266,-17.20648323893547,-0.030315155629068613,1.0160861015319824,0.13206787109375,0.2,0.011009629
9,73728,30,71.98,2392,13.380258790000003,15.929301092028618,80,0.0003,7.32650089263916,0.7065564393997192,-17.232416796684266,-0.032548230010434054,1.017706274986267,0.13702392578125,0.2,0.011976702
10,81920,33,69.05,2431,13.420173010000003,15.642994323372841,90,0.0003,7.225464820861816,0.7156104445457458,-17.253208208084107,-0.03469971104641445,1.0202436447143555,0.14000244140625,0.2,0.0115071535
11,90112,36,73.23,2474,15.82846672,13.711264443397521,100,0.0003,6.145029544830322,0.7503365874290466,-17.286407524347304,-0.035637037610285915,1.022591471672058,0.1431640625,0.2,0.012347028
12,98304,39,68.81,2517,13.810604450000001,12.827143329381943,110,0.0003,4.569881916046143,0.7732055187225342,-17.291383773088455,-0.03855882353091147,1.022340178489685,0.1610107421875,0.2,0.01379113
13,106496,41,74.33,2559,14.957964270000002,10.599628257751466,120,0.0003,3.656175374984741,0.812510073184967,-17.304024320840835,-0.041065061606059314,1.0235437154769897,0.17608642578125,0.2,0.014746419
14,114688,44,76.07,2598,16.643832350000004,13.054002705216408,130,0.0003,5.992781639099121,0.7965899705886841,-17.31689812541008,-0.040071576440095666,1.024475336074829,0.16591796875,0.2,0.013939457
15,122880,46,76.65,2636,17.004256,12.273398959636689,140,0.0003,5.8118896484375,0.8077176213264465,-17.32722869515419,-0.04000867236900376,1.025819182395935,0.171142578125,0.2,0.014369987
16,131072,48,75.74,2675,17.059910260000002,10.291852547228336,150,0.0003,3.4483065605163574,0.8402116298675537,-17.366479259729385,-0.040910341836206496,1.0299222469329834,0.1741455078125,0.2,0.014955157
17,139264,51,82.51,2716,18.09251716,8.780106700956821,160,0.0003,4.441303730010986,0.8603366613388062,-17.413341766595842,-0.04151758335501654,1.0335460901260376,0.1701171875,0.2,0.015522439
18,147456,53,77.97,2764,19.364158000000003,10.547869721055031,170,0.0003,4.240103721618652,0.8376660346984863,-17.432112336158752,-0.03997530393389752,1.0346640348434448,0.1703857421875,0.2,0.014057504
19,155648,55,87.16,2804,22.100260700000003,8.408707723021507,180,0.0003,2.8644680976867676,0.8772895932197571,-17.426439958810807,-0.04108079286233988,1.0336796045303345,0.1811767578125,0.2,0.015587757
20,163840,57,91.32,2845,22.398431859999995,8.67345838546753,190,0.0003,3.6352639198303223,0.8815585970878601,-17.41742326617241,-0.042320622259285304,1.0323861837387085,0.17962646484375,0.2,0.015354415
21,172032,59,90.97,2887,21.79069517,9.60495747923851,200,0.0003,4.030982971191406,0.868806004524231,-17.411979186534882,-0.04535785584666883,1.0328607559204102,0.20118408203125,0.2,0.016044283
22,180224,61,96.72,2933,25.69298754,10.713134323060512,210,0.0003,5.0168561935424805,0.8699371814727783,-17.425440365076064,-0.04176770475751255,1.034159779548645,0.18270263671875,0.2,0.014926476
23,188416,63,106.83,2971,29.08710701,10.418503974378108,220,0.0003,4.25286340713501,0.8743353486061096,-17.408917862176896,-0.04316237501843716,1.031769037246704,0.18582763671875,0.2,0.01507053
24,196608,65,111.28,3010,32.30127271,10.830556067824364,230,0.0003,5.588742256164551,0.8608044385910034,-17.368207627534865,-0.04332690745213767,1.0283845663070679,0.1951904296875,0.2,0.01575441
25,204800,67,110.31,3049,32.559684829999995,11.173225858807564,240,0.0003,4.2238287925720215,0.8726502656936646,-17.359502303600312,-0.04254276956053218,1.028859257698059,0.1720458984375,0.2,0.014751727
