rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_range,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss
65.0,26,304,1,8192,6.64479636,,,,,,,,,,,
66.81,55,294,2,16384,5.429922199999998,-0.009761571884155273,0.13995361328125,0.011716584,11.164039611816406,10,1.002530574798584,0.2,0.0003,25.41254354119301,-0.02773208486760268,-17.04900503754616
68.8,83,293,3,24576,11.903198080000003,0.12982863187789917,0.1031494140625,0.009095678,8.854592323303223,20,1.004331350326538,0.2,0.0003,22.197595939040184,-0.02622675593593158,-17.070227122306825
61.59,113,289,4,32768,10.5060545,0.4046705961227417,0.1013916015625,0.009660832,6.353111267089844,30,1.006341576576233,0.2,0.0003,15.9567470818758,-0.023731523849710355,-17.092314773797987
64.34,142,287,5,40960,11.267542729999997,0.5546413660049438,0.11470947265625,0.010037306,7.281871318817139,40,1.0065492391586304,0.2,0.0003,16.844436049461365,-0.027237227280420485,-17.104416781663893
66.55,170,287,6,49152,11.40304911,0.5870034694671631,0.1166748046875,0.009930419,8.628654479980469,50,1.00726318359375,0.2,0.0003,18.802323114871978,-0.027749572661559797,-17.11314975619316
64.08,199,286,7,57344,12.426666839999998,0.6394999027252197,0.11282958984375,0.01004058,7.526692867279053,60,1.008386492729187,0.2,0.0003,18.240271323919295,-0.02857030086015584,-17.1247214615345
67.39,227,287,8,65536,13.06232386,0.6857973337173462,0.1286376953125,0.011214882,8.77940559387207,70,1.0091074705123901,0.2,0.0003,15.777019742131234,-0.03210446905140998,-17.13551738858223
67.5,255,288,9,73728,10.060894300000001,0.7215619683265686,0.14552001953125,0.011603061,7.077678680419922,80,1.0103353261947632,0.2,0.0003,14.738121816515923,-0.03357138727296842,-17.143903625011443
65.05,284,288,10,81920,13.210824009999996,0.7182594537734985,0.140869140625,0.011832519,6.3518147468566895,90,1.0137466192245483,0.2,0.0003,16.035851871967317,-0.034391384903574365,-17.176738280057908
65.41,312,288,11,90112,12.81823196,0.7625852823257446,0.16029052734375,0.01346256,6.158977031707764,100,1.0157670974731445,0.2,0.0003,13.219409045577049,-0.03657536682294449,-17.204629045724868
71.12,340,289,12,98304,15.718833359999996,0.8116147518157959,0.161474609375,0.01383268,3.553384304046631,110,1.016170859336853,0.2,0.0003,10.573792649805545,-0.03888274695418659,-17.22206534743309
73.38,366,290,13,106496,16.011146150000002,0.83759605884552,0.17625732421875,0.01499197,4.096009731292725,120,1.0163944959640503,0.2,0.0003,9.029181896150112,-0.03855888697580667,-17.21902439594269
76.81,392,291,14,114688,16.946635530000002,0.8418096899986267,0.168896484375,0.013954225,3.5984504222869873,130,1.017442226409912,0.2,0.0003,9.334880058467387,-0.040504489831801035,-17.23665768504143
76.86,418,293,15,122880,16.50948698,0.8528702855110168,0.1835693359375,0.015021588,3.270083427429199,140,1.0192419290542603,0.2,0.0003,8.840591117739677,-0.04209200429686462,-17.252749836444856
86.92,442,296,16,131072,18.719288480000003,0.8318029046058655,0.17723388671875,0.013966085,4.992354393005371,150,1.0193572044372559,0.2,0.0003,10.41649085432291,-0.0392742885658663,-17.25763702392578
83.88,466,298,17,139264,19.45316548,0.8402636051177979,0.16700439453125,0.014155714,4.2424187660217285,160,1.019156813621521,0.2,0.0003,9.612271703779697,-0.03900475377449766,-17.254461950063707
89.06,490,300,18,147456,19.563877480000002,0.8637529611587524,0.1623046875,0.014111609,4.679311275482178,170,1.0211971998214722,0.2,0.0003,9.130923426151275,-0.040163768050842916,-17.27128521203995
85.33,514,302,19,155648,20.69455507,0.8362469673156738,0.1586181640625,0.0133100785,4.561367511749268,180,1.0214189291000366,0.2,0.0003,11.010829451680184,-0.037910064528114164,-17.27850359082222
97.8,536,305,20,163840,24.993418129999995,0.864139974117279,0.1628173828125,0.013714982,3.625809669494629,190,1.023787260055542,0.2,0.0003,9.232836920022965,-0.040385701756167694,-17.29904088973999
95.68,559,307,21,172032,23.56399454,0.8702110052108765,0.1556396484375,0.013431558,3.9164299964904785,200,1.0225703716278076,0.2,0.0003,9.858114263415336,-0.03957424880063627,-17.296149384975433
98.02,582,309,22,180224,24.640803400000003,0.8462086319923401,0.1687255859375,0.014183549,4.844928741455078,210,1.0258334875106812,0.2,0.0003,11.79748288989067,-0.040138411799125605,-17.317521983385085
